match_id,time,avg_summoner_lvl_ally,avg_match_history_length_ally,avg_win_rate_ally,sum_champ_mastery_ally,avg_summoner_lvl_enemy,avg_match_history_length_enemy,avg_win_rate_enemy,sum_champ_mastery_enemy,win
NA1_5095170534,2024-08-29 15:06:04.315956,392.2,20.0,0.47,2333535,280.4,20.0,0.45,554507,0
NA1_5094873692,2024-08-29 15:07:18.075489,154.4,18.6,0.46,744062,285.2,20.0,0.45,263884,1
NA1_5060017077,2024-08-29 15:07:54.548845,193.4,20.0,0.52,1108563,396.6,20.0,0.43,2218409,1
NA1_5097229601,2024-08-29 15:09:04.386741,381.0,20.0,0.55,2027703,133.4,20.0,0.53,80786,1
NA1_5097187922,2024-08-29 15:09:40.181767,281.6,20.0,0.53,301630,223.0,20.0,0.5,474819,1
NA1_5096874129,2024-08-29 15:10:14.576893,416.8,19.8,0.49,1642395,279.4,20.0,0.55,449946,0
NA1_5092627839,2024-08-29 15:11:21.025533,483.2,20.0,0.49,1490138,625.4,20.0,0.49,616033,0
NA1_5092610769,2024-08-29 15:11:53.915789,454.6,20.0,0.44,741320,401.2,20.0,0.46,805602,0
NA1_5092573604,2024-08-29 15:13:08.762466,435.4,20.0,0.51,1651530,311.8,20.0,0.5,1027846,1
NA1_5093763805,2024-08-29 15:13:42.816465,278.2,20.0,0.49,1143952,405.4,20.0,0.53,1633383,1
NA1_5093754125,2024-08-29 15:14:52.902667,462.2,20.0,0.54,679828,328.0,20.0,0.49,457623,1
NA1_5093736690,2024-08-29 15:15:29.103394,352.8,20.0,0.48,1597710,370.2,20.0,0.54,1077670,0
NA1_5083704073,2024-08-29 15:16:03.735707,410.2,20.0,0.55,1410655,346.6,20.0,0.47,1584189,1
NA1_5079561400,2024-08-29 15:17:12.413797,242.0,19.0,0.51,1048467,272.4,18.6,0.49,366003,1
NA1_5079554837,2024-08-29 15:17:47.462977,320.0,20.0,0.44,888319,229.6,20.0,0.53,219283,0
NA1_5056863648,2024-08-29 15:18:57.398783,300.2,20.0,0.51,9692643,381.6,20.0,0.54,144999,1
NA1_5055279201,2024-08-29 15:19:33.792797,404.4,20.0,0.51,584451,526.8,20.0,0.51,1431239,1
NA1_5054413539,2024-08-29 15:20:08.538586,372.4,20.0,0.49,2812054,455.0,20.0,0.51,789917,1
